GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge,Driver
Thu Oct 03 22:58:21 GMT+02:00 2019,03-ott-2019 22:58:20.647,14.23246442,41.59428311,11.92,10.72,501.13861083984375,62.7,0.19760132,2.28471375,11.23284912,0.18765932,-8.769557,9.4117651,-,8.39877605,16.52322769,11.90624905,6.05196047,8.68282604,11.51674747,-,-,-,314.92007446,410.66427612,3.16800308,0.09259208,279.70571899,1455.5,10.72000027,501.13861084,41.59428406,14.23246479,62.70000076,10,11.37695789,0,88.62303925,-,-,7.84313726,7.84313726,-,-,0,14,1.84000003,29,65,27.33300018,42.91199875,45,29.33333397,29.33333397,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:22 GMT+02:00 2019,03-ott-2019 22:58:22.034,14.23259145,41.59432774,11.61,10.72,500.369384765625,62.0,0.93261719,1.8321991000000002,8.64710999,0.07170269,-8.769557,24.31372643,-,181.2480011,16.52338982,0,6.05190134,10.03892994,9.96101379,-,-,-,0,351.99795532,4.91199875,0.11007972,279.72320557,818.5,10.72000027,500.36938477,41.59432602,14.23259163,62.0,10,10.85989094,0,89.1401062,-,-,7.84313726,7.84313726,-,-,0,14,1.84000003,30,67,28.72200012,41.79599762,38,30.20000076,30.20000076,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:24 GMT+02:00 2019,03-ott-2019 22:58:23.527,14.2327672,41.59439415,8.48,10.72,498.890869140625,66.2,0.58784485,2.71087646,9.56408691,0.03410918,-8.7705946,27.45098114,-,107.36410522,16.52355194,0.93139064,6.05184174,11.05602932,9.04465008,-,-,-,24.63526535,311.07763672,16.10400009,0.12313417,279.73626709,830,10.72000027,498.89086914,41.59439468,14.23276711,66.19999695,8,10.35375595,0,89.64624786,-,-,7.84313726,7.84313726,-,-,0,14,1.84000003,32,68,30.215999600000004,30.52799797,24,29.63636398,29.63636398,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:25 GMT+02:00 2019,03-ott-2019 22:58:24.898,14.23285291,41.59440377,8.11,11.792,497.72198486328125,66.4,0.56390381,2.99099731,9.0397644,0.0292413,-8.77155209,29.41176605,-,59.94934082,16.52371407,1.66804039,6.05178213,11.84712696,8.44068909,-,-,-,44.11963654,281.4156189,13.52799797,0.13090709,279.74404907,826,11.79199982,497.72198486,41.59440231,14.23285294,66.40000153,8,9.92969322,0,90.07030487,-,-,7.84313726,7.84313726,-,-,0,14,1.84000003,33,70,31.58499908,29.19599724,17,28.58333397,28.58333397,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:27 GMT+02:00 2019,03-ott-2019 22:58:26.566,14.23284743,41.59437891,1.78,10.72,497.27032470703125,65.1,0.41786194,3.14422607,9.61436462,0.02421213,-8.77252483,29.41176605,-,39.65133286,16.52387619,2.52193093,6.05172253,12.48002338,8.01263905,-,-,-,66.70502472,259.94454956,20.19599724,0.1358507,279.74899292,824.5,10.72000027,497.27032471,41.59437943,14.23284721,65.09999847,7,9.45718765,0,90.54281616,-,-,7.84313726,7.84313726,-,-,0,14,1.84000003,35,71,33.25500107,6.40799952,9,27.07692337,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:29 GMT+02:00 2019,03-ott-2019 22:58:29.385,14.23287044,41.59440156,0.29,10.72,498.4884643554688,67.6,0.44180298,5.02128601,7.9025115999999995,0.00594593,-8.77387905,32.15686417,-,21.67954445,16.52438354,4.61254692,6.05153704,13.31634331,7.50941277,-,-,-,-,259.94454956,2.33999991,0.1358507,279.74899292,773.5,10.72000027,498.48846436,41.59440231,14.2328701,67.59999847,7,13.79437637,0,86.20561981,-,-,7.84313726,7.84313726,-,-,0,14,3.75099993,37,74,34.162998200000004,1.04399991,0,25.1428566,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:31 GMT+02:00 2019,03-ott-2019 22:58:30.759,14.23283315,41.59436035,0.61,10.72,500.9552612304688,115.3,0.52799988,4.71720886,8.5489502,0.00988216,-8.77565289,32.94117737,-,0,16.52430725,-,6.05156517,13.26350021,7.53933096,-,-,-,-,259.94454956,1.98000002,0.1358507,279.74899292,779,10.72000027,500.95526123,41.59436035,14.23283291,115.30000305,7,16.80285072,0,83.19715118,-,-,7.84313726,7.84313726,-,-,0,14,5.12200022,39,75,34.162998200000004,2.1960001,0,23.46666718,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:32 GMT+02:00 2019,03-ott-2019 22:58:32.268,14.23282811,41.59435741,0.85,10.72,500.1949462890625,181.0,0.82008362,4.78186035,8.83146667,0.00625627,-8.77662373,31.76470566,-,0,16.52422905,-,6.05159378,13.21491623,7.56704903,-,-,-,-,259.94454956,2.1960001,0.1358507,279.74899292,775.5,10.72000027,500.19494629,41.59435654,14.23282814,181.0,7,19.88822937,0,80.11177063,-,-,8.23529434,7.84313726,-,-,0,14,6.63500023,40,77,34.162998200000004,3.05999994,0,22,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:34 GMT+02:00 2019,03-ott-2019 22:58:33.551,14.23280839,41.594353999999996,0.85,11.792,498.974853515625,244.3,0.73150635,4.64059448,8.64950562,0.03382405,-8.77770901,31.37254906,-,0,16.52415085,-,6.05162191,13.16996765,7.592875,-,-,-,-,259.94454956,2.87999988,0.1358507,279.74899292,779.5,11.79199982,498.97485352,41.59435272,14.23280811,244.30000305,7,22.32520485,0,77.67479706,-,-,7.84313726,7.84313726,-,-,0,14,7.91499996,42,78,34.162998200000004,3.05999994,0,20.70588303,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:35 GMT+02:00 2019,03-ott-2019 22:58:34.736,14.23279306,41.59435229,0.38,12.864,498.38916015625,247.5,0.48728943,4.71960449,8.29037476,0.01814843,-8.77857208,30.98039246,-,0,16.52407455,-,6.05165052,13.12815857,7.61705637,-,-,-,-,259.94454956,3.05999994,0.1358507,279.74899292,781,12.86400032,498.38916016,41.59435272,14.23279285,247.5,7,24.458004,0,75.54199982,-,-,7.84313726,7.84313726,-,-,0,14,9.10299969,43,79,34.162998200000004,1.36799991,0,19.55555534,27.07692337,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
