GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 26 17:50:07 GMT+01:00 2019,26-dic-2019 17:50:06.378,14.11360389,41.77866426,4.27,850.972900390625,0.35414726,9.61420441,2.32202554,3.20426226,31.20778275,-,1072,3.79009247,850.97290039,41.77866364,14.11360359,0.08493812,0.9758901,0.18529312,0.02062705,378
Thu Dec 26 17:50:07 GMT+01:00 2019,26-dic-2019 17:50:07.079,14.11360389,41.77866426,4.27,850.972900390625,1.22849691,9.34112072,1.9171896000000002,2.95260859,33.86765289,-,1273,3.79009247,850.97290039,41.77866364,14.11360359,0.06076357,0.96978545,0.11789742,-0.0038409,379
Thu Dec 26 17:50:08 GMT+01:00 2019,26-dic-2019 17:50:07.823,14.11358604,41.77871868,5.42,851.322265625,1.2213105,9.84656715,2.52324581,3.47063899,28.81254005,-,1431.5,3.79009247,851.32226562,41.77871704,14.11358643,0.17186883,1.01740193,0.18553732,0.07096231,379
Thu Dec 26 17:50:09 GMT+01:00 2019,26-dic-2019 17:50:08.772,14.11353408,41.77876414,6.46,851.6214599609375,0.47152567,9.47287178,1.60338187,3.23003745,30.95874977,-,1696,3.79009247,851.62145996,41.77876282,14.11353397,0.10593824,0.97637844,0.25586331,0.04495077,380
Thu Dec 26 17:50:10 GMT+01:00 2019,26-dic-2019 17:50:09.501,14.11347049,41.77881806,7.83,851.470703125,0.83084744,9.88489342,2.73644328,3.81241059,26.22957802,-,1912.5,3.79009247,851.47070312,41.77881622,14.11347008,0.02657733,1.05647194,0.27075872,0.12033849,381
Thu Dec 26 17:50:10 GMT+01:00 2019,26-dic-2019 17:50:10.233,14.11347049,41.77881806,7.83,851.470703125,1.22370601,9.43454361,2.64541507,4.37491798,22.85709572,-,2080,3.79009247,851.47070312,41.77881622,14.11347008,0.02486801,1.00690186,0.11325786,0.02988975,382
Thu Dec 26 17:50:11 GMT+01:00 2019,26-dic-2019 17:50:11.193,14.11339156,41.77887684,8.94,851.3681640625,0.84282488,9.20936966,4.31745911,4.83813429,20.66869545,-,2322.5,3.79009247,851.36816406,41.77887726,14.11339188,0.11057781,0.91557574,0.26416567,-0.00813571,383
Thu Dec 26 17:50:12 GMT+01:00 2019,26-dic-2019 17:50:11.904,14.11330391,41.77894166,9.97,851.8759765625,-0.10099368,9.87770748,2.03935909,38.15432358,2.62088037,-,1624,3.79009247,851.87597656,41.77894211,14.11330414,0.11936855,1.04108822,0.33620095,0.13545811,383
Thu Dec 26 17:50:13 GMT+01:00 2019,26-dic-2019 17:50:12.624,14.11321301,41.77899792,9.79,851.763916015625,1.31233859,9.13990021,3.05504179,25.22325325,3.96451306,-,1516.5,3.79009247,851.76391602,41.77899933,14.11321259,0.12669417,0.91704094,0.17699076,-0.03336798,384
Thu Dec 26 17:50:14 GMT+01:00 2019,26-dic-2019 17:50:13.581,14.11311626,41.77905235,10.04,851.728271484375,2.99875569,9.70283794,2.65260148,7.99483919,12.50780869,-,1563,3.79009247,851.72827148,41.77905273,14.11311626,0.04806582,0.92045957,0.24243299999999998,-0.0163958,385
