GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Oct 03 23:00:08 GMT+02:00 2019,03-ott-2019 23:00:08.091,14.238667900000001,41.59524395,11.63,512.52294921875,2.25660706,8.10021973,5.18748474,16.51853371,6.05368042,220.04670715,41.59524536,18.03921509,-,-,8.23529434,13
Thu Oct 03 23:00:10 GMT+02:00 2019,03-ott-2019 23:00:09.608,14.2389367,41.59531971,12.19,513.6525268554689,2.33561707,8.2702179,4.88581848,16.5192852,6.05340528,217.47094727,41.59531784,17.64705849,-,-,8.23529434,13
Thu Oct 03 23:00:13 GMT+02:00 2019,03-ott-2019 23:00:12.849,14.2393351,41.59540139,12.1,514.5877685546875,2.85995483,8.04275513,4.77807617,16.51968002,6.05326033,215.45196533,41.59540176,16.07843208,-,-,7.84313726,13
Thu Oct 03 23:00:14 GMT+02:00 2019,03-ott-2019 23:00:14.351,14.23947056,41.59545285,12.14,514.4840698242189,3.00120544,7.76742554,4.75653076,16.52064323,6.05290699,212.89115906,41.59545135,17.64705849,-,-,6.66666698,13
Thu Oct 03 23:00:16 GMT+02:00 2019,03-ott-2019 23:00:15.716,14.23969278,41.59554883,11.14,513.5917358398439,2.5032196,7.93980408,4.20347595,16.52235222,6.0522809,209.95368958,41.59555054,18.4313736,-,-,8.62745094,13
Thu Oct 03 23:00:17 GMT+02:00 2019,03-ott-2019 23:00:17.014,14.23982413,41.59560555,11.86,513.7733764648439,2.63728333,7.4801178,4.17234802,16.52260017,6.05219078,208.44160461,41.59560394,18.4313736,-,-,8.62745094,13
Thu Oct 03 23:00:18 GMT+02:00 2019,03-ott-2019 23:00:18.122,14.23995701,41.59563488,12.13,514.9046630859375,2.63967896,7.78179932,4.68470764,16.52277756,6.05212545,207.10284424,41.59563446,18.4313736,-,-,8.62745094,13
Thu Oct 03 23:00:20 GMT+02:00 2019,03-ott-2019 23:00:19.434,14.24023275,41.59572006,12.12,516.66748046875,2.15365601,7.25027466,5.12045288,16.52298546,6.05204868,205.76872253,41.59571838,17.64705849,-,-,8.23529434,13
Thu Oct 03 23:00:23 GMT+02:00 2019,03-ott-2019 23:00:22.571,14.24062427,41.59583881,11.97,518.2005615234375,2.54151917,7.72912598,4.71583557,16.5238266,6.0517416,203.75918579,41.59584045,12.94117641,-,-,2.35294127,13
Thu Oct 03 23:00:24 GMT+02:00 2019,03-ott-2019 23:00:23.947,14.24074372,41.5958806,11.32,519.8580322265625,2.26139832,7.97093201,5.07736206,16.52398682,6.05168247,200.19709778,41.59588242,13.33333397,-,-,3.13725495,13
